country,total_cases,deaths,recovered,active,critical,total_test
USA,174778,102197,490256,115532,17227,958937
BRAZIL,414661,25697,166647,222317,8318,871839
RUSSIA,379051,4142,150993,223916,2300,970128
SPAIN,283849,27118,196958,59773,854,355656
UK,267240,37460,0,0,1559,379849
ITALY,231139,33072,147101,50966,505,360725
FRANCE,182913,28596,66584,87733,1501,138463
GERMANY,181895,8533,163200,10162,763,395297
TURKEY,159797,4431,122793,32573,723,189465
INDIA,159138,4542,67983,86613,8944,336213
IRAN,143849,7627,112988,23234,2343,876492
